ColNames,perc_n
phys_ipv_prev,15.2 (25)
CTS_phys_threw_perp,5.5 (9)
CTS_phys_twist_perp,3 (5)
CTS_phys_push_perp,7.9 (13)
CTS_phys_grab_perp,8.5 (14)
CTS_phys_slap_perp,7.3 (12)
CTS_phys_weapon_perp,1.2 (2)
CTS_phys_punch_perp,4.3 (7)
CTS_phys_choke_perp,2.4 (4)
CTS_phys_slam_perp,3 (5)
CTS_phys_beat_perp,1.2 (2)
CTS_phys_burn_perp,2.4 (4)
CTS_phys_kick_perp,3.7 (6)
psych_ipv_prev,91.7 (154)
CTS_psych_swore_perp,63.1 (106)
CTS_psych_shout_perp,80.4 (135)
CTS_psych_stomp_perp,52.4 (87)
CTS_psych_spite_perp,50.3 (84)
CTS_psych_insult_perp,27.3 (45)
CTS_psych_destroy_perp,6.7 (11)
CTS_psych_lousy_perp,36.7 (61)
CTS_psych_threat_perp,7.3 (12)
sgm_ipv_prev,14.5 (24)
CTS_sgm_threatout_perp,2.4 (4)
CTS_sgm_alone_perp,4.3 (7)
CTS_sgm_rumor_perp,1.8 (3)
CTS_sgm_out_perp,1.8 (3)
CTS_sgm_pda_perp,9.6 (16)
